GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
multi-ut/multi-coreA,cn.bzk.coreA,coreA,0,7,0,0,0,2,0,2,0,2
multi-ut/multi-coreB,cn.bzk.coreB,coreB,0,7,0,0,0,2,0,2,0,2
